Role,Name,Start,End,Count
 • Politics • ,Corruption,1849-01-02,1849-12-31,0
 • Politics • ,Corruption,1860-01-02,1860-12-31,0
 • Politics • ,Corruption,1862-01-02,1862-12-31,0
 • Politics • ,Delegation,1832-01-02,1834-12-31,0
 • Politics • ,Political Partisanship,1832-01-02,1837-12-31,0
 • Politics • ,Political Partisanship,1839-01-02,1839-12-31,0
 • Politics • ,Political Partisanship,1841-01-02,1841-12-31,0
 • Politics • ,Political Partisanship,1843-01-02,1844-12-31,0
 • Politics • ,Political Partisanship,1847-01-02,1847-12-31,0
 • Politics • ,Political Partisanship,1849-01-02,1849-12-31,0
 • Politics • ,Political Partisanship,1860-01-02,1860-12-31,0
 • Politics • ,Veterans,1832-01-02,1833-12-31,0
 • Politics • ,Veterans,1837-01-02,1837-12-31,0
 • Politics • ,Political Philosophy,1833-01-02,1833-12-31,0
 • Politics • ,Political Philosophy,1835-01-02,1835-12-31,0
 • Politics • ,Political Philosophy,1838-01-02,1838-12-31,0
 • Politics • ,Political Philosophy,1849-01-02,1849-12-31,0
 • Politics • ,Political Violence,1833-01-02,1833-12-31,0
 • Politics • ,Political Violence,1835-01-02,1835-12-31,0
 • Politics • ,Censure,1834-01-02,1837-12-31,0
 • Politics • ,Censure,1840-01-02,1840-12-31,0
 • Politics • ,Supreme Court Nominations,1835-01-02,1836-12-31,0
 • Politics • ,Supreme Court Nominations,1845-01-02,1845-12-31,0
 • Politics • ,Secession,1856-01-02,1856-12-31,0
 • Politics • ,Secession,1861-01-02,1861-12-31,0
 • Politics • ,Secession,1866-01-02,1866-12-31,0
 • Politics • ,Politics,1832-01-02,1837-12-31
Corruption,Corruption,1832-01-02,1834-12-31,5
Corruption,Corruption,1849-01-02,1849-12-31,1
Corruption,Corruption,1860-01-02,1860-12-31,1
Corruption,Corruption,1862-01-02,1862-12-31,1
Delegation,Delegation,1832-01-02,1834-12-31,4
Political Partisanship,Political Partisanship,1832-01-02,1837-12-31,25
Political Partisanship,Political Partisanship,1839-01-02,1839-12-31,2
Political Partisanship,Political Partisanship,1841-01-02,1841-12-31,2
Political Partisanship,Political Partisanship,1843-01-02,1844-12-31,3
Political Partisanship,Political Partisanship,1847-01-02,1847-12-31,1
Political Partisanship,Political Partisanship,1849-01-02,1849-12-31,1
Political Partisanship,Political Partisanship,1860-01-02,1860-12-31,2
Veterans,Veterans,1832-01-02,1833-12-31,4
Veterans,Veterans,1837-01-02,1837-12-31,1
Political Philosophy,Political Philosophy,1833-01-02,1833-12-31,3
Political Philosophy,Political Philosophy,1835-01-02,1835-12-31,2
Political Philosophy,Political Philosophy,1838-01-02,1838-12-31,1
Political Philosophy,Political Philosophy,1849-01-02,1849-12-31,1
Political Violence,Political Violence,1833-01-02,1833-12-31,1
Political Violence,Political Violence,1835-01-02,1835-12-31,1
Censure,Censure,1834-01-02,1837-12-31,6
Censure,Censure,1840-01-02,1840-12-31,1
Supreme Court Nominations,Supreme Court Nominations,1835-01-02,1836-12-31,12
Supreme Court Nominations,Supreme Court Nominations,1845-01-02,1845-12-31,1
Secession,Secession,1856-01-02,1856-12-31,1
Secession,Secession,1861-01-02,1861-12-31,4
Secession,Secession,1866-01-02,1866-12-31,1
 • Politics • ,Politics,1838-01-02,1838-12-31,1
 • Politics • ,Politics,1839-01-02,1839-12-31,3
 • Politics • ,Politics,1840-01-02,1840-12-31,1
 • Politics • ,Politics,1841-01-02,1841-12-31,5
 • Politics • ,Politics,1843-01-02,1844-12-31,3
 • Politics • ,Politics,1845-01-02,1845-12-31,1
 • Politics • ,Politics,1847-01-02,1847-12-31,1
 • Politics • ,Politics,1849-01-02,1849-12-31,5
 • Politics • ,Politics,1856-01-02,1856-12-31,4
 • Politics • ,Politics,1860-01-02,1860-12-31,3
 • Politics • ,Politics,1861-01-02,1861-12-31,5
 • Politics • ,Politics,1862-01-02,1862-12-31,1
 • Politics • ,Politics,1866-01-02,1866-12-31,2
 • African Americans • ,"Topic, African Americans",1832-01-02,1832-12-31,0
 • African Americans • ,African Americans,1832-01-02,1832-12-31
"Topic, African Americans","Topic, African Americans",1832-01-02,1832-12-31,1
 • Religion • ,"Topic, Religion",1810-01-02,1810-12-31,0
 • Religion • ,"Topic, Religion",1820-01-02,1820-12-31,0
 • Religion • ,"Topic, Religion",1822-01-02,1822-12-31,0
 • Religion • ,"Topic, Religion",1833-01-02,1833-12-31,0
 • Religion • ,"Topic, Religion",1835-01-02,1836-12-31,0
 • Religion • ,"Topic, Religion",1843-01-02,1844-12-31,0
 • Religion • ,"Topic, Religion",1846-01-02,1848-12-31,0
 • Religion • ,"Topic, Religion",1855-01-02,1856-12-31,0
 • Religion • ,"Topic, Religion",1860-01-02,1864-12-31,0
 • Religion • ,Religion,1810-01-02,1810-12-31
"Topic, Religion","Topic, Religion",1810-01-02,1810-12-31,1
"Topic, Religion","Topic, Religion",1820-01-02,1820-12-31,1
"Topic, Religion","Topic, Religion",1822-01-02,1822-12-31,1
"Topic, Religion","Topic, Religion",1833-01-02,1833-12-31,1
"Topic, Religion","Topic, Religion",1835-01-02,1836-12-31,4
"Topic, Religion","Topic, Religion",1843-01-02,1844-12-31,5
"Topic, Religion","Topic, Religion",1846-01-02,1848-12-31,6
"Topic, Religion","Topic, Religion",1855-01-02,1856-12-31,4
"Topic, Religion","Topic, Religion",1860-01-02,1864-12-31,8
 • Religion • ,Religion,1820-01-02,1820-12-31,1
 • Religion • ,Religion,1822-01-02,1822-12-31,1
 • Religion • ,Religion,1833-01-02,1833-12-31,2
 • Religion • ,Religion,1835-01-02,1836-12-31,5
 • Religion • ,Religion,1843-01-02,1844-12-31,5
 • Religion • ,Religion,1846-01-02,1848-12-31,7
 • Religion • ,Religion,1855-01-02,1856-12-31,5
 • Religion • ,Religion,1860-01-02,1864-12-31,13
 • Education • ,"Topic, Education",1794-01-02,1795-12-31,0
 • Education • ,"Topic, Education",1823-01-02,1823-12-31,0
 • Education • ,"Topic, Education",1827-01-02,1827-12-31,0
 • Education • ,"Topic, Education",1832-01-02,1833-12-31,0
 • Education • ,"Topic, Education",1835-01-02,1836-12-31,0
 • Education • ,"Topic, Education",1842-01-02,1842-12-31,0
 • Education • ,"Topic, Education",1852-01-02,1852-12-31,0
 • Education • ,"Topic, Education",1856-01-02,1856-12-31,0
 • Education • ,"Topic, Education",1864-01-02,1864-12-31,0
 • Education • ,Education,1794-01-02,1795-12-31
"Topic, Education","Topic, Education",1794-01-02,1795-12-31,2
"Topic, Education","Topic, Education",1823-01-02,1823-12-31,1
"Topic, Education","Topic, Education",1827-01-02,1827-12-31,1
"Topic, Education","Topic, Education",1832-01-02,1833-12-31,2
"Topic, Education","Topic, Education",1835-01-02,1836-12-31,2
"Topic, Education","Topic, Education",1842-01-02,1842-12-31,1
"Topic, Education","Topic, Education",1852-01-02,1852-12-31,1
"Topic, Education","Topic, Education",1856-01-02,1856-12-31,1
"Topic, Education","Topic, Education",1864-01-02,1864-12-31,2
 • Education • ,Education,1823-01-02,1823-12-31,1
 • Education • ,Education,1827-01-02,1827-12-31,1
 • Education • ,Education,1832-01-02,1833-12-31,2
 • Education • ,Education,1835-01-02,1836-12-31,2
 • Education • ,Education,1842-01-02,1842-12-31,1
 • Education • ,Education,1852-01-02,1852-12-31,1
 • Education • ,Education,1856-01-02,1856-12-31,1
 • Education • ,Education,1864-01-02,1864-12-31,2
 • Slavery and Enslaved Persons • ,"Topic, Slavery and Enslaved Persons",1832-01-02,1832-12-31,0
 • Slavery and Enslaved Persons • ,"Topic, Slavery and Enslaved Persons",1856-01-02,1856-12-31,0
 • Slavery and Enslaved Persons • ,Texas Annexation,1844-01-02,1844-12-31,0
 • Slavery and Enslaved Persons • ,Slavery and Enslaved Persons,1832-01-02,1832-12-31
"Topic, Slavery and Enslaved Persons","Topic, Slavery and Enslaved Persons",1832-01-02,1832-12-31,1
"Topic, Slavery and Enslaved Persons","Topic, Slavery and Enslaved Persons",1856-01-02,1856-12-31,1
Texas Annexation,Texas Annexation,1844-01-02,1844-12-31,1
 • Slavery and Enslaved Persons • ,Slavery and Enslaved Persons,1844-01-02,1844-12-31,1
 • Slavery and Enslaved Persons • ,Slavery and Enslaved Persons,1856-01-02,1856-12-31,1
 • Culture • ,Smithsonian Institution,1846-01-02,1846-12-31,0
 • Culture • ,Smithsonian Institution,1854-01-02,1854-12-31,0
 • Culture • ,Smithsonian Institution,1858-01-02,1858-12-31,0
 • Culture • ,Culture,1846-01-02,1846-12-31
Smithsonian Institution,Smithsonian Institution,1846-01-02,1846-12-31,1
Smithsonian Institution,Smithsonian Institution,1854-01-02,1854-12-31,1
Smithsonian Institution,Smithsonian Institution,1858-01-02,1858-12-31,1
 • Culture • ,Culture,1854-01-02,1854-12-31,1
 • Culture • ,Culture,1858-01-02,1858-12-31,1
 • Health • ,Health and Illness,1810-01-02,1810-12-31,0
 • Health • ,Health and Illness,1818-01-02,1820-12-31,0
 • Health • ,Health and Illness,1822-01-02,1822-12-31,0
 • Health • ,Health and Illness,1825-01-02,1825-12-31,0
 • Health • ,Health and Illness,1827-01-02,1827-12-31,0
 • Health • ,Health and Illness,1829-01-02,1829-12-31,0
 • Health • ,Health and Illness,1831-01-02,1849-12-31,0
 • Health • ,Health and Illness,1851-01-02,1852-12-31,0
 • Health • ,Health and Illness,1854-01-02,1864-12-31,0
 • Health • ,Recreation,1820-01-02,1820-12-31,0
 • Health • ,Recreation,1822-01-02,1822-12-31,0
 • Health • ,Recreation,1827-01-02,1827-12-31,0
 • Health • ,Recreation,1832-01-02,1833-12-31,0
 • Health • ,Recreation,1835-01-02,1837-12-31,0
 • Health • ,Recreation,1839-01-02,1839-12-31,0
 • Health • ,Recreation,1843-01-02,1849-12-31,0
 • Health • ,Recreation,1853-01-02,1853-12-31,0
 • Health • ,Recreation,1855-01-02,1864-12-31,0
 • Health • ,Health,1810-01-02,1810-12-31
Health and Illness,Health and Illness,1810-01-02,1810-12-31,1
Health and Illness,Health and Illness,1818-01-02,1820-12-31,3
Health and Illness,Health and Illness,1822-01-02,1822-12-31,3
Health and Illness,Health and Illness,1825-01-02,1825-12-31,1
Health and Illness,Health and Illness,1827-01-02,1827-12-31,2
Health and Illness,Health and Illness,1829-01-02,1829-12-31,1
Health and Illness,Health and Illness,1831-01-02,1849-12-31,92
Health and Illness,Health and Illness,1851-01-02,1852-12-31,3
Health and Illness,Health and Illness,1854-01-02,1864-12-31,128
Recreation,Recreation,1820-01-02,1820-12-31,1
Recreation,Recreation,1822-01-02,1822-12-31,2
Recreation,Recreation,1827-01-02,1827-12-31,2
Recreation,Recreation,1832-01-02,1833-12-31,2
Recreation,Recreation,1835-01-02,1837-12-31,14
Recreation,Recreation,1839-01-02,1839-12-31,2
Recreation,Recreation,1843-01-02,1849-12-31,23
Recreation,Recreation,1853-01-02,1853-12-31,1
Recreation,Recreation,1855-01-02,1864-12-31,53
 • Health • ,Health,1818-01-02,1820-12-31,4
 • Health • ,Health,1822-01-02,1822-12-31,5
 • Health • ,Health,1825-01-02,1825-12-31,1
 • Health • ,Health,1827-01-02,1827-12-31,4
 • Health • ,Health,1829-01-02,1829-12-31,1
 • Health • ,Health,1831-01-02,1849-12-31,133
 • Health • ,Health,1851-01-02,1852-12-31,3
 • Health • ,Health,1853-01-02,1853-12-31,1
 • Health • ,Health,1854-01-02,1864-12-31,181
 • Society • ,Privacy,1831-01-02,1841-12-31,0
 • Society • ,Privacy,1860-01-02,1860-12-31,0
 • Society • ,Privacy,1863-01-02,1863-12-31,0
 • Society • ,Public Health,1832-01-02,1832-12-31,0
 • Society • ,Public Health,1834-01-02,1834-12-31,0
 • Society • ,Public Health,1843-01-02,1843-12-31,0
 • Society • ,Public Health,1849-01-02,1849-12-31,0
 • Society • ,Public Health,1855-01-02,1855-12-31,0
 • Society • ,Public Health,1857-01-02,1857-12-31,0
 • Society • ,Society,1831-01-02,1841-12-31
Privacy,Privacy,1831-01-02,1841-12-31,156
Privacy,Privacy,1860-01-02,1860-12-31,2
Privacy,Privacy,1863-01-02,1863-12-31,1
Public Health,Public Health,1832-01-02,1832-12-31,1
Public Health,Public Health,1834-01-02,1834-12-31,4
Public Health,Public Health,1843-01-02,1843-12-31,1
Public Health,Public Health,1849-01-02,1849-12-31,1
Public Health,Public Health,1855-01-02,1855-12-31,6
Public Health,Public Health,1857-01-02,1857-12-31,1
 • Society • ,Society,1843-01-02,1843-12-31,6
 • Society • ,Society,1849-01-02,1849-12-31,3
 • Society • ,Society,1855-01-02,1855-12-31,15
 • Society • ,Society,1857-01-02,1857-12-31,5
 • Society • ,Society,1860-01-02,1860-12-31,8
 • Society • ,Society,1863-01-02,1863-12-31,5
 • Uncategorized • ,Juries,1825-01-02,1825-12-31,0
 • Uncategorized • ,Juries,1837-01-02,1837-12-31,0
 • Uncategorized • ,Popular Will,1830-01-02,1839-12-31,0
 • Uncategorized • ,Popular Will,1841-01-02,1841-12-31,0
 • Uncategorized • ,Popular Will,1844-01-02,1844-12-31,0
 • Uncategorized • ,Popular Will,1846-01-02,1846-12-31,0
 • Uncategorized • ,Popular Will,1848-01-02,1849-12-31,0
 • Uncategorized • ,Popular Will,1863-01-02,1863-12-31,0
 • Uncategorized • ,Navy,1831-01-02,1834-12-31,0
 • Uncategorized • ,Navy,1836-01-02,1836-12-31,0
 • Uncategorized • ,Navy,1844-01-02,1844-12-31,0
 • Uncategorized • ,Navy,1846-01-02,1846-12-31,0
 • Uncategorized • ,Federal Courts,1832-01-02,1833-12-31,0
 • Uncategorized • ,Federal Courts,1836-01-02,1836-12-31,0
 • Uncategorized • ,Federal Courts,1840-01-02,1840-12-31,0
 • Uncategorized • ,Federal Courts,1845-01-02,1845-12-31,0
 • Uncategorized • ,Federal Courts,1848-01-02,1848-12-31,0
 • Uncategorized • ,Federal Courts,1863-01-02,1863-12-31,0
 • Uncategorized • ,Statutory Interpretation,1832-01-02,1834-12-31,0
 • Uncategorized • ,Statutory Interpretation,1836-01-02,1836-12-31,0
 • Uncategorized • ,Statutory Interpretation,1846-01-02,1846-12-31,0
 • Uncategorized • ,Statutory Interpretation,1856-01-02,1856-12-31,0
 • Uncategorized • ,Army,1833-01-02,1834-12-31,0
 • Uncategorized • ,Army,1836-01-02,1836-12-31,0
 • Uncategorized • ,Army,1862-01-02,1862-12-31,0
 • Uncategorized • ,Presidency,1833-01-02,1833-12-31,0
 • Uncategorized • ,Presidency,1860-01-02,1860-12-31,0
 • Uncategorized • ,Public Debt,1833-01-02,1833-12-31,0
 • Uncategorized • ,Public Debt,1836-01-02,1836-12-31,0
 • Uncategorized • ,Public Debt,1849-01-02,1849-12-31,0
 • Uncategorized • ,Public Memory,1833-01-02,1833-12-31,0
 • Uncategorized • ,Public Memory,1835-01-02,1836-12-31,0
 • Uncategorized • ,Public Memory,1840-01-02,1840-12-31,0
 • Uncategorized • ,Public Memory,1843-01-02,1843-12-31,0
 • Uncategorized • ,Public Memory,1849-01-02,1849-12-31,0
 • Uncategorized • ,Public Memory,1856-01-02,1857-12-31,0
 • Uncategorized • ,Public Memory,1860-01-02,1860-12-31,0
 • Uncategorized • ,U.S. Constitution,1833-01-02,1833-12-31,0
 • Uncategorized • ,Tranfer Drafts,1834-01-02,1834-12-31,0
 • Uncategorized • ,Public Disturbances,1835-01-02,1836-12-31,0
 • Uncategorized • ,Public Disturbances,1856-01-02,1856-12-31,0
 • Uncategorized • ,Equality,1836-01-02,1836-12-31,0
 • Uncategorized • ,Slavery,1837-01-02,1837-12-31,0
 • Uncategorized • ,Taney Family Residences,1838-01-02,1838-12-31,0
 • Uncategorized • ,Uncategorized,1825-01-02,1825-12-31
Juries,Juries,1825-01-02,1825-12-31,1
Juries,Juries,1837-01-02,1837-12-31,1
Popular Will,Popular Will,1830-01-02,1839-12-31,56
Popular Will,Popular Will,1841-01-02,1841-12-31,1
Popular Will,Popular Will,1844-01-02,1844-12-31,1
Popular Will,Popular Will,1846-01-02,1846-12-31,1
Popular Will,Popular Will,1848-01-02,1849-12-31,2
Popular Will,Popular Will,1863-01-02,1863-12-31,1
Navy,Navy,1831-01-02,1834-12-31,11
Navy,Navy,1836-01-02,1836-12-31,1
Navy,Navy,1844-01-02,1844-12-31,1
Navy,Navy,1846-01-02,1846-12-31,1
Federal Courts,Federal Courts,1832-01-02,1833-12-31,6
Federal Courts,Federal Courts,1836-01-02,1836-12-31,1
Federal Courts,Federal Courts,1840-01-02,1840-12-31,1
Federal Courts,Federal Courts,1845-01-02,1845-12-31,1
Federal Courts,Federal Courts,1848-01-02,1848-12-31,1
Federal Courts,Federal Courts,1863-01-02,1863-12-31,2
Statutory Interpretation,Statutory Interpretation,1832-01-02,1834-12-31,14
Statutory Interpretation,Statutory Interpretation,1836-01-02,1836-12-31,1
Statutory Interpretation,Statutory Interpretation,1846-01-02,1846-12-31,1
Statutory Interpretation,Statutory Interpretation,1856-01-02,1856-12-31,1
Army,Army,1833-01-02,1834-12-31,3
Army,Army,1836-01-02,1836-12-31,1
Army,Army,1862-01-02,1862-12-31,1
Presidency,Presidency,1833-01-02,1833-12-31,2
Presidency,Presidency,1860-01-02,1860-12-31,1
Public Debt,Public Debt,1833-01-02,1833-12-31,3
Public Debt,Public Debt,1836-01-02,1836-12-31,1
Public Debt,Public Debt,1849-01-02,1849-12-31,1
Public Memory,Public Memory,1833-01-02,1833-12-31,1
Public Memory,Public Memory,1835-01-02,1836-12-31,2
Public Memory,Public Memory,1840-01-02,1840-12-31,1
Public Memory,Public Memory,1843-01-02,1843-12-31,1
Public Memory,Public Memory,1849-01-02,1849-12-31,1
Public Memory,Public Memory,1856-01-02,1857-12-31,2
Public Memory,Public Memory,1860-01-02,1860-12-31,1
U.S. Constitution,U.S. Constitution,1833-01-02,1833-12-31,1
Tranfer Drafts,Tranfer Drafts,1834-01-02,1834-12-31,1
Public Disturbances,Public Disturbances,1835-01-02,1836-12-31,11
Public Disturbances,Public Disturbances,1856-01-02,1856-12-31,1
Equality,Equality,1836-01-02,1836-12-31,1
Slavery,Slavery,1837-01-02,1837-12-31,1
Taney Family Residences,Taney Family Residences,1838-01-02,1838-12-31,1
 • Uncategorized • ,Uncategorized,1830-01-02,1839-12-31,0
 • Uncategorized • ,Uncategorized,1840-01-02,1840-12-31,0
 • Uncategorized • ,Uncategorized,1841-01-02,1841-12-31,0
 • Uncategorized • ,Uncategorized,1843-01-02,1843-12-31,0
 • Uncategorized • ,Uncategorized,1844-01-02,1844-12-31,0
 • Uncategorized • ,Uncategorized,1845-01-02,1845-12-31,0
 • Uncategorized • ,Uncategorized,1846-01-02,1846-12-31,0
 • Uncategorized • ,Uncategorized,1848-01-02,1849-12-31,0
 • Uncategorized • ,Uncategorized,1856-01-02,1857-12-31,0
 • Uncategorized • ,Uncategorized,1860-01-02,1860-12-31,0
 • Uncategorized • ,Uncategorized,1862-01-02,1862-12-31,0
 • Uncategorized • ,Uncategorized,1863-01-02,1863-12-31,0
 • Wars and Revolutions • ,War of 1812,1814-01-02,1814-12-31,0
 • Wars and Revolutions • ,War of 1812,1832-01-02,1834-12-31,0
 • Wars and Revolutions • ,War of 1812,1837-01-02,1838-12-31,0
 • Wars and Revolutions • ,War of 1812,1843-01-02,1843-12-31,0
 • Wars and Revolutions • ,War of 1812,1847-01-02,1847-12-31,0
 • Wars and Revolutions • ,War of 1812,1849-01-02,1849-12-31,0
 • Wars and Revolutions • ,War of 1812,1856-01-02,1856-12-31,0
 • Wars and Revolutions • ,American Revolution,1834-01-02,1834-12-31,0
 • Wars and Revolutions • ,Napoleonic Wars,1835-01-02,1835-12-31,0
 • Wars and Revolutions • ,Civil War,1861-01-02,1864-12-31,0
 • Wars and Revolutions • ,Wars and Revolutions,1814-01-02,1814-12-31
War of 1812,War of 1812,1814-01-02,1814-12-31,1
War of 1812,War of 1812,1832-01-02,1834-12-31,5
War of 1812,War of 1812,1837-01-02,1838-12-31,2
War of 1812,War of 1812,1843-01-02,1843-12-31,1
War of 1812,War of 1812,1847-01-02,1847-12-31,1
War of 1812,War of 1812,1849-01-02,1849-12-31,2
War of 1812,War of 1812,1856-01-02,1856-12-31,1
American Revolution,American Revolution,1834-01-02,1834-12-31,1
Napoleonic Wars,Napoleonic Wars,1835-01-02,1835-12-31,1
Civil War,Civil War,1861-01-02,1864-12-31,11
 • Wars and Revolutions • ,Wars and Revolutions,1832-01-02,1834-12-31,10
 • Wars and Revolutions • ,Wars and Revolutions,1835-01-02,1835-12-31,1
 • Wars and Revolutions • ,Wars and Revolutions,1837-01-02,1838-12-31,3
 • Wars and Revolutions • ,Wars and Revolutions,1843-01-02,1843-12-31,1
 • Wars and Revolutions • ,Wars and Revolutions,1847-01-02,1847-12-31,1
 • Wars and Revolutions • ,Wars and Revolutions,1849-01-02,1849-12-31,2
 • Wars and Revolutions • ,Wars and Revolutions,1856-01-02,1856-12-31,1
 • Wars and Revolutions • ,Wars and Revolutions,1861-01-02,1864-12-31,11
 • International Relations • ,Foreign Relations,1801-01-02,1801-12-31,0
 • International Relations • ,Foreign Relations,1832-01-02,1833-12-31,0
 • International Relations • ,Foreign Relations,1835-01-02,1836-12-31,0
 • International Relations • ,Foreign Relations,1844-01-02,1844-12-31,0
 • International Relations • ,Foreign Relations,1846-01-02,1846-12-31,0
 • International Relations • ,Foreign Relations,1849-01-02,1849-12-31,0
 • International Relations • ,Foreign Relations,1860-01-02,1860-12-31,0
 • International Relations • ,Treaties,1832-01-02,1833-12-31,0
 • International Relations • ,Treaties,1835-01-02,1836-12-31,0
 • International Relations • ,Treaties,1860-01-02,1860-12-31,0
 • International Relations • ,International Relations,1801-01-02,1801-12-31
Foreign Relations,Foreign Relations,1801-01-02,1801-12-31,1
Foreign Relations,Foreign Relations,1832-01-02,1833-12-31,9
Foreign Relations,Foreign Relations,1835-01-02,1836-12-31,3
Foreign Relations,Foreign Relations,1844-01-02,1844-12-31,1
Foreign Relations,Foreign Relations,1846-01-02,1846-12-31,1
Foreign Relations,Foreign Relations,1849-01-02,1849-12-31,1
Foreign Relations,Foreign Relations,1860-01-02,1860-12-31,1
Treaties,Treaties,1832-01-02,1833-12-31,6
Treaties,Treaties,1835-01-02,1836-12-31,2
Treaties,Treaties,1860-01-02,1860-12-31,1
 • International Relations • ,International Relations,1832-01-02,1833-12-31,15
 • International Relations • ,International Relations,1835-01-02,1836-12-31,5
 • International Relations • ,International Relations,1844-01-02,1844-12-31,1
 • International Relations • ,International Relations,1846-01-02,1846-12-31,1
 • International Relations • ,International Relations,1849-01-02,1849-12-31,2
 • International Relations • ,International Relations,1860-01-02,1860-12-31,2
 • Publications and Press • ,Press,1820-01-02,1820-12-31,0
 • Publications and Press • ,Press,1827-01-02,1827-12-31,0
 • Publications and Press • ,Press,1831-01-02,1841-12-31,0
 • Publications and Press • ,Press,1843-01-02,1844-12-31,0
 • Publications and Press • ,Press,1846-01-02,1847-12-31,0
 • Publications and Press • ,Press,1849-01-02,1849-12-31,0
 • Publications and Press • ,Press,1854-01-02,1857-12-31,0
 • Publications and Press • ,Press,1859-01-02,1862-12-31,0
 • Publications and Press • ,Publications and Press,1820-01-02,1820-12-31
Press,Press,1820-01-02,1820-12-31,1
Press,Press,1827-01-02,1827-12-31,1
Press,Press,1831-01-02,1841-12-31,68
Press,Press,1843-01-02,1844-12-31,5
Press,Press,1846-01-02,1847-12-31,2
Press,Press,1849-01-02,1849-12-31,2
Press,Press,1854-01-02,1857-12-31,10
Press,Press,1859-01-02,1862-12-31,15
 • Publications and Press • ,Publications and Press,1827-01-02,1827-12-31,1
 • Publications and Press • ,Publications and Press,1831-01-02,1841-12-31,71
 • Publications and Press • ,Publications and Press,1843-01-02,1844-12-31,5
 • Publications and Press • ,Publications and Press,1846-01-02,1847-12-31,2
 • Publications and Press • ,Publications and Press,1849-01-02,1849-12-31,2
 • Publications and Press • ,Publications and Press,1854-01-02,1857-12-31,10
 • Publications and Press • ,Publications and Press,1859-01-02,1862-12-31,15
 • Art • ,"Arts, Visual and Performing",1820-01-02,1820-12-31,0
 • Art • ,"Arts, Visual and Performing",1860-01-02,1860-12-31,0
 • Art • ,Art,1820-01-02,1820-12-31
"Arts, Visual and Performing","Arts, Visual and Performing",1820-01-02,1820-12-31,1
"Arts, Visual and Performing","Arts, Visual and Performing",1860-01-02,1860-12-31,1
 • Art • ,Art,1860-01-02,1860-12-31,1
 • Family • ,Family Relations (Taney Family),1810-01-02,1810-12-31,0
 • Family • ,Family Relations (Taney Family),1818-01-02,1820-12-31,0
 • Family • ,Family Relations (Taney Family),1822-01-02,1823-12-31,0
 • Family • ,Family Relations (Taney Family),1825-01-02,1825-12-31,0
 • Family • ,Family Relations (Taney Family),1827-01-02,1830-12-31,0
 • Family • ,Family Relations (Taney Family),1832-01-02,1851-12-31,0
 • Family • ,Family Relations (Taney Family),1853-01-02,1864-12-31,0
 • Family • ,Family Relations (Taney Family),1866-01-02,1866-12-31,0
 • Family • ,Family Residences (Taney Family),1831-01-02,1834-12-31,0
 • Family • ,Family Residences (Taney Family),1836-01-02,1837-12-31,0
 • Family • ,Family Residences (Taney Family),1839-01-02,1840-12-31,0
 • Family • ,Family Residences (Taney Family),1843-01-02,1843-12-31,0
 • Family • ,Family Residences (Taney Family),1846-01-02,1848-12-31,0
 • Family • ,Family Residences (Taney Family),1855-01-02,1858-12-31,0
 • Family • ,Family Residences (Taney Family),1860-01-02,1861-12-31,0
 • Family • ,Family Residences (Taney Family),1863-01-02,1863-12-31,0
 • Family • ,Family Residences (Taney Family),1866-01-02,1866-12-31,0
 • Family • ,Family,1810-01-02,1810-12-31
Family Relations (Taney Family),Family Relations (Taney Family),1810-01-02,1810-12-31,1
Family Relations (Taney Family),Family Relations (Taney Family),1818-01-02,1820-12-31,3
Family Relations (Taney Family),Family Relations (Taney Family),1822-01-02,1823-12-31,3
Family Relations (Taney Family),Family Relations (Taney Family),1825-01-02,1825-12-31,1
Family Relations (Taney Family),Family Relations (Taney Family),1827-01-02,1830-12-31,5
Family Relations (Taney Family),Family Relations (Taney Family),1832-01-02,1851-12-31,101
Family Relations (Taney Family),Family Relations (Taney Family),1853-01-02,1864-12-31,126
Family Relations (Taney Family),Family Relations (Taney Family),1866-01-02,1866-12-31,1
Family Residences (Taney Family),Family Residences (Taney Family),1831-01-02,1834-12-31,16
Family Residences (Taney Family),Family Residences (Taney Family),1836-01-02,1837-12-31,3
Family Residences (Taney Family),Family Residences (Taney Family),1839-01-02,1840-12-31,3
Family Residences (Taney Family),Family Residences (Taney Family),1843-01-02,1843-12-31,1
Family Residences (Taney Family),Family Residences (Taney Family),1846-01-02,1848-12-31,7
Family Residences (Taney Family),Family Residences (Taney Family),1855-01-02,1858-12-31,21
Family Residences (Taney Family),Family Residences (Taney Family),1860-01-02,1861-12-31,2
Family Residences (Taney Family),Family Residences (Taney Family),1863-01-02,1863-12-31,2
Family Residences (Taney Family),Family Residences (Taney Family),1866-01-02,1866-12-31,2
 • Family • ,Family,1818-01-02,1820-12-31,3
 • Family • ,Family,1822-01-02,1823-12-31,3
 • Family • ,Family,1825-01-02,1825-12-31,2
 • Family • ,Family,1827-01-02,1830-12-31,5
 • Family • ,Family,1831-01-02,1851-12-31,167
 • Family • ,Family,1853-01-02,1864-12-31,239
 • Family • ,Family,1866-01-02,1866-12-31,5
 • Migration • ,Public Lands,1831-01-02,1834-12-31,0
 • Migration • ,Public Lands,1836-01-02,1836-12-31,0
 • Migration • ,Public Lands,1841-01-02,1841-12-31,0
 • Migration • ,Immigration,1856-01-02,1856-12-31,0
 • Migration • ,Migration,1831-01-02,1834-12-31
Public Lands,Public Lands,1831-01-02,1834-12-31,19
Public Lands,Public Lands,1836-01-02,1836-12-31,2
Public Lands,Public Lands,1841-01-02,1841-12-31,1
